,Unnamed: 0,name,url,food_details,rating,review_number,longitude,latitude,price,food_category,weighted_rating,rating_group,price_category,rest_details
504,504,Restoran seri semporna jinjang selatan,https://foodpanda.my/restaurant/n6eb/restoran-seri-semporna-jinjang-selatan,"['Noodles', 'Rice Dishes', 'Malaysian food']",4.1,553,101.65916491,3.20702633,3,Borneo,4.15,4.00-4.29,Expensive,"Noodles, Rice Dishes, Malaysian food"
505,505,Tealive kepong laman rimbunan,https://foodpanda.my/restaurant/p4jn/tealive-kepong-laman-rimbunan,"['Halal', 'Malaysian food', 'Desserts']",4.5,1642,101.648044,3.212106,2,Beverages,4.5,4.50-4.69,Moderate,"Halal, Malaysian food, Desserts"
506,506,Restoran majeed cafe,https://foodpanda.my/restaurant/vfuv/restoran-majeed-cafe,"['Noodles', 'Beverages', 'Chicken', 'Malaysian food', 'Meat']",4.2,186,101.6532128,3.1896567,2,Mamak,4.29,4.00-4.29,Moderate,"Noodles, Beverages, Chicken, Malaysian food, Meat"
507,507,Lou fu zhi noodles kampung kia kopitiam,https://foodpanda.my/restaurant/r5qv/lou-fu-zhi-noodles-kampung-kia-kopitiam,"['Noodles', 'Chinese']",4.4,138,101.6425881,3.2131348,2,Chinese,4.42,4.30-4.49,Moderate,"Noodles, Chinese"
508,508,Restoran shen loi,https://foodpanda.my/restaurant/c1xq/restoran-shen-loi,"['Noodles', 'Beverages', 'Meat', 'Chinese']",3.9,15,101.6459089,3.2117333,3,Chinese,4.38,4.30-4.49,Expensive,"Noodles, Beverages, Meat, Chinese"
509,509,Sedapfoods,https://foodpanda.my/restaurant/llur/sedapfoods,['Desserts'],4.5,16,101.6600696,3.1824485,3,Desserts,4.46,4.30-4.49,Expensive,Desserts
510,510,Kedai kopi 1313 pan friedju xiang da chao,https://foodpanda.my/restaurant/y6bq/kedai-kopi-1313-pan-friedju-xiang-da-chao,"['Noodles', 'Rice Dishes', 'Chinese']",4.7,67,101.645023,3.216832,3,Chinese,4.55,4.50-4.69,Expensive,"Noodles, Rice Dishes, Chinese"
511,511,Justin fried chickenat s8 food court,https://foodpanda.my/restaurant/z3wx/justin-fried-chickenat-s8-food-court,"['American', 'Chicken']",4.5,8,101.6509339,3.1858219,1,Fast Food,4.45,4.30-4.49,Cheap,"American, Chicken"
512,512,Warisan nasi kukus at be happy kopitiam,https://foodpanda.my/restaurant/o9gc/warisan-nasi-kukus-at-be-happy-kopitiam,"['Rice Dishes', 'Malaysian food', 'Meat', 'Fish']",4.5,432,101.641714,3.213369,3,Malay,4.49,4.30-4.49,Expensive,"Rice Dishes, Malaysian food, Meat, Fish"
513,513,Deli2go costa coffee sh jalan kepong 2 1,https://foodpanda.my/restaurant/v9fq/deli2go-costa-coffee-sh-jalan-kepong-2-1,"['Cakes', 'Beverages', 'Malaysian food', 'Desserts']",4.4,23,101.635154,3.2131137,1,Beverages,4.44,4.30-4.49,Cheap,"Cakes, Beverages, Malaysian food, Desserts"
